"Running|Stable|V2Dir|Valid","84.230.90.182","12002"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","93.95.231.110","9001"
"Fast|Running|V2Dir|Valid","46.118.233.236","443"
"Fast|Running|V2Dir|Valid","91.47.215.64","443"
"Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","185.194.142.194","9000"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","139.162.123.5","443"
"Fast|HSDir|Running|Stable|V2Dir|Valid","82.116.120.3","443"
"Fast|Running|Valid","185.175.59.186","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","109.228.53.235","443"
"Fast|Running|V2Dir|Valid","74.208.182.78","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","89.58.33.214","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","91.229.239.83","123"
"Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","185.194.141.178","9000"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","23.129.64.130","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","208.1.62.240","443"
"Fast|Guard|Running|Stable|V2Dir|Valid","51.77.70.243","9001"
"Fast|Running|Stable|V2Dir|Valid","91.219.29.94","9001"
"Fast|Running|Stable|V2Dir|Valid","179.61.251.32","9001"
"Exit|Fast|Running|Stable|Valid","192.42.116.212","9001"
"Running|V2Dir|Valid","74.63.247.210","443"
"Fast|Running|Stable|V2Dir|Valid","144.76.104.119","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.163.45.253","443"
"Fast|HSDir|Running|Stable|V2Dir|Valid","46.226.105.119","10400"
"Fast|Guard|Running|Stable|V2Dir|Valid","98.115.87.163","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","51.89.106.29","9001"
"Exit|Fast|Running|V2Dir|Valid","185.163.204.78","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.198.26.149","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","107.189.30.69","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","83.0.60.229","1315"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","63.227.116.162","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.220.102.242","443"
"Fast|Guard|Running|Stable|V2Dir|Valid","5.34.176.184","9001"
"Running|V2Dir|Valid","45.79.24.209","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","144.172.118.45","9100"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","130.61.125.241","9001"
"Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","193.218.118.158","9001"
"Fast|Running|Stable|V2Dir|Valid","45.83.234.114","9002"
"Fast|Running|V2Dir|Valid","77.68.9.62","443"
